subset_4,coverage_count,hist_weight
"2,3,7,9",2,0
"2,3,7,10",2,1
"2,3,7,12",3,0
"2,3,7,14",2,1
"2,3,7,23",2,1
"2,3,7,28",2,2
"2,3,7,33",2,0
"2,3,7,35",3,2
"2,3,7,39",2,0
"2,3,9,10",3,1
"2,3,9,12",2,1
"2,3,9,14",2,2
"2,3,9,23",3,1
"2,3,9,28",2,1
"2,3,9,33",4,1
"2,3,9,35",2,0
"2,3,9,39",2,1
"2,3,10,12",2,0
"2,3,10,14",2,0
"2,3,10,23",2,1
"2,3,10,28",2,1
"2,3,10,33",2,0
"2,3,10,35",3,1
"2,3,10,39",2,2
"2,3,12,14",2,1
"2,3,12,23",2,1
"2,3,12,28",2,1
"2,3,12,33",3,0
"2,3,12,35",2,0
"2,3,12,39",2,0
"2,3,14,23",2,4
"2,3,14,28",2,1
"2,3,14,33",2,0
"2,3,14,35",3,1
"2,3,14,39",3,2
"2,3,23,28",3,1
"2,3,23,33",2,0
"2,3,23,35",2,0
"2,3,23,39",2,1
"2,3,28,33",2,2
"2,3,28,35",1,0
"2,3,28,39",2,2
"2,3,33,35",3,1
"2,3,33,39",2,1
"2,3,35,39",3,0
"2,7,9,10",2,2
"2,7,9,12",2,1
"2,7,9,14",2,0
"2,7,9,23",2,2
"2,7,9,28",2,1
"2,7,9,33",2,1
"2,7,9,35",2,0
"2,7,9,39",2,2
"2,7,10,12",2,2
"2,7,10,14",2,1
"2,7,10,23",2,0
"2,7,10,28",1,0
"2,7,10,33",2,1
"2,7,10,35",2,0
"2,7,10,39",3,5
"2,7,12,14",2,1
"2,7,12,23",2,4
"2,7,12,28",2,0
"2,7,12,33",3,1
"2,7,12,35",2,1
"2,7,12,39",2,2
"2,7,14,23",2,2
"2,7,14,28",3,1
"2,7,14,33",2,0
"2,7,14,35",2,2
"2,7,14,39",3,2
"2,7,23,28",3,2
"2,7,23,33",2,1
"2,7,23,35",2,0
"2,7,23,39",3,1
"2,7,28,33",3,1
"2,7,28,35",2,1
"2,7,28,39",2,1
"2,7,33,35",2,0
"2,7,33,39",2,1
"2,7,35,39",3,2
"2,9,10,12",2,1
"2,9,10,14",2,2
"2,9,10,23",2,1
"2,9,10,28",2,0
"2,9,10,33",2,1
"2,9,10,35",2,0
"2,9,10,39",3,3
"2,9,12,14",2,2
"2,9,12,23",2,2
"2,9,12,28",2,1
"2,9,12,33",2,3
"2,9,12,35",2,0
"2,9,12,39",2,0
"2,9,14,23",2,1
"2,9,14,28",2,2
"2,9,14,33",2,4
"2,9,14,35",2,0
"2,9,14,39",4,3
"2,9,23,28",2,1
"2,9,23,33",2,3
"2,9,23,35",3,0
"2,9,23,39",2,2
"2,9,28,33",2,1
"2,9,28,35",5,2
"2,9,28,39",3,2
"2,9,33,35",2,1
"2,9,33,39",2,2
"2,9,35,39",2,2
"2,10,12,14",2,4
"2,10,12,23",2,1
"2,10,12,28",2,1
"2,10,12,33",4,1
"2,10,12,35",2,0
"2,10,12,39",2,1
"2,10,14,23",2,2
"2,10,14,28",2,0
"2,10,14,33",2,1
"2,10,14,35",2,0
"2,10,14,39",2,0
"2,10,23,28",2,2
"2,10,23,33",2,1
"2,10,23,35",2,0
"2,10,23,39",2,0
"2,10,28,33",2,2
"2,10,28,35",3,0
"2,10,28,39",2,2
"2,10,33,35",2,1
"2,10,33,39",2,1
"2,10,35,39",2,0
"2,12,14,23",2,1
"2,12,14,28",1,0
"2,12,14,33",2,1
"2,12,14,35",3,3
"2,12,14,39",2,2
"2,12,23,28",2,0
"2,12,23,33",2,1
"2,12,23,35",2,2
"2,12,23,39",2,2
"2,12,28,33",2,1
"2,12,28,35",3,1
"2,12,28,39",2,1
"2,12,33,35",2,2
"2,12,33,39",2,2
"2,12,35,39",2,0
"2,14,23,28",2,1
"2,14,23,33",2,1
"2,14,23,35",2,1
"2,14,23,39",2,1
"2,14,28,33",2,1
"2,14,28,35",2,1
"2,14,28,39",2,1
"2,14,33,35",2,1
"2,14,33,39",2,2
"2,14,35,39",2,0
"2,23,28,33",2,0
"2,23,28,35",2,1
"2,23,28,39",2,0
"2,23,33,35",2,3
"2,23,33,39",2,2
"2,23,35,39",3,0
"2,28,33,35",3,1
"2,28,33,39",2,2
"2,28,35,39",3,2
"2,33,35,39",2,2
"3,7,9,10",2,1
"3,7,9,12",3,2
"3,7,9,14",2,0
"3,7,9,23",2,0
"3,7,9,28",3,1
"3,7,9,33",2,1
"3,7,9,35",2,1
"3,7,9,39",2,1
"3,7,10,12",2,4
"3,7,10,14",2,0
"3,7,10,23",2,0
"3,7,10,28",2,2
"3,7,10,33",2,0
"3,7,10,35",2,0
"3,7,10,39",2,1
"3,7,12,14",2,0
"3,7,12,23",2,0
"3,7,12,28",2,3
"3,7,12,33",2,0
"3,7,12,35",2,0
"3,7,12,39",2,0
"3,7,14,23",2,2
"3,7,14,28",2,1
"3,7,14,33",2,0
"3,7,14,35",2,2
"3,7,14,39",2,1
"3,7,23,28",2,0
"3,7,23,33",2,1
"3,7,23,35",2,0
"3,7,23,39",2,1
"3,7,28,33",3,1
"3,7,28,35",2,0
"3,7,28,39",2,0
"3,7,33,35",3,1
"3,7,33,39",2,2
"3,7,35,39",2,1
"3,9,10,12",2,1
"3,9,10,14",2,0
"3,9,10,23",2,1
"3,9,10,28",2,1
"3,9,10,33",2,1
"3,9,10,35",2,2
"3,9,10,39",3,1
"3,9,12,14",2,1
"3,9,12,23",2,1
"3,9,12,28",1,1
"3,9,12,33",3,4
"3,9,12,35",2,1
"3,9,12,39",3,3
"3,9,14,23",2,2
"3,9,14,28",2,0
"3,9,14,33",2,0
"3,9,14,35",2,1
"3,9,14,39",2,1
"3,9,23,28",3,0
"3,9,23,33",1,0
"3,9,23,35",3,0
"3,9,23,39",2,1
"3,9,28,33",2,1
"3,9,28,35",3,1
"3,9,28,39",4,2
"3,9,33,35",2,0
"3,9,33,39",2,1
"3,9,35,39",2,2
"3,10,12,14",2,2
"3,10,12,23",2,0
"3,10,12,28",3,1
"3,10,12,33",2,1
"3,10,12,35",2,1
"3,10,12,39",1,0
"3,10,14,23",3,2
"3,10,14,28",3,2
"3,10,14,33",2,1
"3,10,14,35",2,2
"3,10,14,39",2,0
"3,10,23,28",2,1
"3,10,23,33",3,1
"3,10,23,35",2,0
"3,10,23,39",2,0
"3,10,28,33",2,0
"3,10,28,35",2,1
"3,10,28,39",2,1
"3,10,33,35",2,0
"3,10,33,39",3,1
"3,10,35,39",1,0
"3,12,14,23",3,0
"3,12,14,28",2,0
"3,12,14,33",3,2
"3,12,14,35",2,2
"3,12,14,39",2,0
"3,12,23,28",2,2
"3,12,23,33",3,2
"3,12,23,35",2,1
"3,12,23,39",2,2
"3,12,28,33",2,2
"3,12,28,35",2,1
"3,12,28,39",2,1
"3,12,33,35",4,0
"3,12,33,39",2,2
"3,12,35,39",2,0
"3,14,23,28",2,3
"3,14,23,33",2,3
"3,14,23,35",3,1
"3,14,23,39",3,1
"3,14,28,33",3,2
"3,14,28,35",2,1
"3,14,28,39",2,2
"3,14,33,35",2,1
"3,14,33,39",2,1
"3,14,35,39",2,2
"3,23,28,33",3,1
"3,23,28,35",2,0
"3,23,28,39",1,0
"3,23,33,35",2,0
"3,23,33,39",2,1
"3,23,35,39",2,0
"3,28,33,35",2,0
"3,28,33,39",3,3
"3,28,35,39",2,0
"3,33,35,39",2,1
"7,9,10,12",3,2
"7,9,10,14",2,0
"7,9,10,23",2,2
"7,9,10,28",2,1
"7,9,10,33",2,1
"7,9,10,35",2,2
"7,9,10,39",3,1
"7,9,12,14",2,1
"7,9,12,23",2,3
"7,9,12,28",2,0
"7,9,12,33",2,0
"7,9,12,35",2,0
"7,9,12,39",2,1
"7,9,14,23",2,1
"7,9,14,28",2,1
"7,9,14,33",2,2
"7,9,14,35",2,0
"7,9,14,39",2,0
"7,9,23,28",3,4
"7,9,23,33",2,1
"7,9,23,35",2,0
"7,9,23,39",3,0
"7,9,28,33",2,1
"7,9,28,35",2,0
"7,9,28,39",2,0
"7,9,33,35",2,1
"7,9,33,39",2,1
"7,9,35,39",2,1
"7,10,12,14",2,2
"7,10,12,23",2,0
"7,10,12,28",2,2
"7,10,12,33",3,1
"7,10,12,35",2,1
"7,10,12,39",2,2
"7,10,14,23",2,1
"7,10,14,28",2,1
"7,10,14,33",2,1
"7,10,14,35",2,0
"7,10,14,39",2,0
"7,10,23,28",2,2
"7,10,23,33",3,3
"7,10,23,35",2,0
"7,10,23,39",3,1
"7,10,28,33",2,1
"7,10,28,35",2,3
"7,10,28,39",3,4
"7,10,33,35",2,3
"7,10,33,39",2,1
"7,10,35,39",2,1
"7,12,14,23",3,1
"7,12,14,28",2,1
"7,12,14,33",2,0
"7,12,14,35",3,2
"7,12,14,39",2,2
"7,12,23,28",2,0
"7,12,23,33",2,0
"7,12,23,35",2,1
"7,12,23,39",3,2
"7,12,28,33",2,2
"7,12,28,35",3,2
"7,12,28,39",3,3
"7,12,33,35",2,2
"7,12,33,39",2,1
"7,12,35,39",4,2
"7,14,23,28",2,1
"7,14,23,33",2,1
"7,14,23,35",2,1
"7,14,23,39",3,1
"7,14,28,33",4,3
"7,14,28,35",1,0
"7,14,28,39",2,2
"7,14,33,35",2,1
"7,14,33,39",2,1
"7,14,35,39",2,1
"7,23,28,33",2,0
"7,23,28,35",3,1
"7,23,28,39",3,3
"7,23,33,35",3,1
"7,23,33,39",2,1
"7,23,35,39",2,2
"7,28,33,35",2,1
"7,28,33,39",2,2
"7,28,35,39",3,2
"7,33,35,39",2,0
"9,10,12,14",2,0
"9,10,12,23",2,1
"9,10,12,28",2,2
"9,10,12,33",3,1
"9,10,12,35",2,0
"9,10,12,39",2,2
"9,10,14,23",2,2
"9,10,14,28",1,0
"9,10,14,33",2,0
"9,10,14,35",1,0
"9,10,14,39",2,0
"9,10,23,28",2,3
"9,10,23,33",1,0
"9,10,23,35",3,0
"9,10,23,39",2,1
"9,10,28,33",2,2
"9,10,28,35",3,0
"9,10,28,39",2,1
"9,10,33,35",2,3
"9,10,33,39",2,2
"9,10,35,39",3,1
"9,12,14,23",2,0
"9,12,14,28",2,1
"9,12,14,33",2,1
"9,12,14,35",2,0
"9,12,14,39",2,0
"9,12,23,28",2,1
"9,12,23,33",2,0
"9,12,23,35",2,2
"9,12,23,39",2,1
"9,12,28,33",3,0
"9,12,28,35",3,1
"9,12,28,39",3,0
"9,12,33,35",2,0
"9,12,33,39",3,3
"9,12,35,39",3,1
"9,14,23,28",2,1
"9,14,23,33",3,0
"9,14,23,35",3,1
"9,14,23,39",2,1
"9,14,28,33",3,0
"9,14,28,35",2,0
"9,14,28,39",2,1
"9,14,33,35",2,2
"9,14,33,39",2,2
"9,14,35,39",2,1
"9,23,28,33",2,0
"9,23,28,35",4,0
"9,23,28,39",2,1
"9,23,33,35",4,1
"9,23,33,39",3,1
"9,23,35,39",2,0
"9,28,33,35",2,1
"9,28,33,39",2,0
"9,28,35,39",2,1
"9,33,35,39",2,0
"10,12,14,23",3,4
"10,12,14,28",2,0
"10,12,14,33",2,3
"10,12,14,35",2,1
"10,12,14,39",3,0
"10,12,23,28",3,0
"10,12,23,33",2,2
"10,12,23,35",4,2
"10,12,23,39",2,2
"10,12,28,33",2,2
"10,12,28,35",2,2
"10,12,28,39",2,2
"10,12,33,35",2,1
"10,12,33,39",4,2
"10,12,35,39",2,0
"10,14,23,28",2,0
"10,14,23,33",2,2
"10,14,23,35",2,1
"10,14,23,39",2,2
"10,14,28,33",2,1
"10,14,28,35",2,1
"10,14,28,39",2,1
"10,14,33,35",2,1
"10,14,33,39",2,2
"10,14,35,39",3,2
"10,23,28,33",3,1
"10,23,28,35",2,0
"10,23,28,39",2,1
"10,23,33,35",4,1
"10,23,33,39",2,1
"10,23,35,39",3,2
"10,28,33,35",2,1
"10,28,33,39",3,1
"10,28,35,39",2,2
"10,33,35,39",2,1
"12,14,23,28",1,0
"12,14,23,33",2,0
"12,14,23,35",2,1
"12,14,23,39",2,1
"12,14,28,33",2,0
"12,14,28,35",2,1
"12,14,28,39",2,3
"12,14,33,35",2,0
"12,14,33,39",3,0
"12,14,35,39",2,2
"12,23,28,33",2,2
"12,23,28,35",2,0
"12,23,28,39",2,1
"12,23,33,35",3,1
"12,23,33,39",2,2
"12,23,35,39",3,0
"12,28,33,35",3,1
"12,28,33,39",2,0
"12,28,35,39",2,0
"12,33,35,39",2,2
"14,23,28,33",2,1
"14,23,28,35",3,1
"14,23,28,39",2,0
"14,23,33,35",2,1
"14,23,33,39",1,0
"14,23,35,39",3,0
"14,28,33,35",2,1
"14,28,33,39",2,2
"14,28,35,39",2,0
"14,33,35,39",2,1
"23,28,33,35",2,0
"23,28,33,39",4,2
"23,28,35,39",2,0
"23,33,35,39",2,1
"28,33,35,39",2,0
